"Name","FileName","StartFrame","EndFrame","FaceFreezeFrame","Speed","TransitionInMs","TransitionOutMs","AutoFadeMs","Looping","Priority"
"8BitWalk","8bit_walk.scw",1,20,,,100,100,,"TRUE",1
"8bitWin","8bit_win.scw",1,70,,,,,,,
"8bitWinloop","8bit_win.scw",71,99,,,,,,"TRUE",
"AmberAttack","amber_attack.scw",5,10,-1,,,,,,"hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"AmberIdle","amber_idle.scw",1,-1,-1,,100,100,,"TRUE",
"AmberLose","amber_lose.scw",,74,-1,,,,,,
"AmberLoseloop","amber_lose.scw",75,-1,-1,,,,,"TRUE",
"AmberMaskedWin","amber_masked_win.glb",,94,-1,,,,,,
"AmberMaskedWinloop","amber_masked_win.glb",95,134,-1,,,,,"TRUE",
"AmberPortrait","amber_portrait.scw",,-1,,,,,,,
"AmberPushback","amber_pushback.scw",,-1,-1,,,,,,
"AmberRecoil","amber_attack.scw",10,20,-1,,100,100,100,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"AmberWalk","amber_walk.scw",1,22,-1,,100,100,,"TRUE",1
"AmberWin","amber_win.scw",,191,-1,,,,,,
"AmberWinloop","amber_win.scw",192,230,-1,,,,,"TRUE",
"ArcadeHauntedHouseAttack","8bit_haunted_house_attack.glb",1,5,,,50,,,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArcadeHauntedHouseIdle","8bit_haunted_house_idle.glb",1,29,,,100,100,,"TRUE",
"ArcadeHauntedHouseLose","8bit_haunted_house_lose.glb",,79,,,,,,,
"ArcadeHauntedHouseLoseloop","8bit_haunted_house_lose.glb",79,79,,,,,,"TRUE",
"ArcadeHauntedHouseProfile","8bit_base_cam.scw",1,1,,,,,,"TRUE",
"ArcadeHauntedHousePushback","8bit_pushback.scw",,-1,,,50,100,200,,
"ArcadeHauntedHouseRecoil","8bit_haunted_house_attack.glb",5,-1,,,,,250,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArcadeHauntedHouseReload","8bit_reload.scw",,13,,,,,150,,"hips_s#1+L_upperLeg_s#0+R_upperLeg_s#0+L_clavicle_s#4+L_shoulder_s#4+L_elbow_s#4+L_forearm_twist_s#4+L_wrist_s#4+R_clavicle_s#0+R_shoulder_s#0+R_elbow_s#0"
"ArcadeHauntedHouseWalk","8bit_haunted_house_walk.glb",1,20,,,100,100,,"TRUE",1
"ArcadeHauntedHouseWin","8bit_haunted_house_win.glb",1,134,,,,,,,
"ArcadeHauntedHouseWinloop","8bit_haunted_house_win.glb",76,134,,,,,,"TRUE",
"ArcadePianoAttack","8bit_piano_attack.glb",1,5,,,50,,,,"hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"ArcadePianoIdle","8bit_piano_idle.glb",1,29,,,100,100,,"TRUE",
"ArcadePianoLose","8bit_piano_lose.glb",1,91,,,,,,,
"ArcadePianoLoseloop","8bit_piano_lose.glb",92,191,,,,,,"TRUE",
"ArcadePianoProfile","8bit_piano_portrait.glb",249,249,,,,,,"TRUE",
"ArcadePianoPushback","8bit_pushback.scw",,-1,,,50,100,200,,
"ArcadePianoRecoil","8bit_piano_attack.glb",5,-1,,,,,250,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArcadePianoReload","8bit_piano_reload.glb",,13,,,,,150,,"hips_s#1+L_upperLeg_s#0+R_upperLeg_s#0+L_clavicle_s#4+L_shoulder_s#4+L_elbow_s#4+L_forearm_twist_s#4+L_wrist_s#4+R_clavicle_s#0+R_shoulder_s#0+R_elbow_s#0"
"ArcadePianoWalk","8bit_piano_walk.glb",1,20,,,100,100,,"TRUE",1
"ArcadePianoWin","8bit_piano_win.glb",1,217,,,,,,,
"ArcadePianoWinloop","8bit_piano_win.glb",218,249,,,,,,"TRUE",
"ArcadeRetropolisAttack","8bit_retropolis_attack.glb",1,5,,,50,,,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArcadeRetropolisIdle","8bit_retropolis_idle.glb",1,29,,,100,100,,"TRUE",
"ArcadeRetropolisLose","8bit_lose.scw",1,99,,,,,,,
"ArcadeRetropolisLoseloop","8bit_lose.scw",100,139,,,,,,"TRUE",
"ArcadeRetropolisProfile","8bit_base_cam.scw",1,1,,,,,,"TRUE",
"ArcadeRetropolisPushback","8bit_pushback.scw",,-1,,,50,100,200,,
"ArcadeRetropolisRecoil","8bit_retropolis_attack.glb",5,-1,,,,,250,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArcadeRetropolisReload","8bit_reload.scw",,13,,,,,150,,"hips_s#1+L_upperLeg_s#0+R_upperLeg_s#0+L_clavicle_s#4+L_shoulder_s#4+L_elbow_s#4+L_forearm_twist_s#4+L_wrist_s#4+R_clavicle_s#0+R_shoulder_s#0+R_elbow_s#0"
"ArcadeRetropolisWalk","8bit_retropolis_walk.glb",1,20,,,100,100,,"TRUE",1
"ArcadeRetropolisWin","8bit_retropolis_win.glb",1,70,,,,,,,
"ArcadeRetropolisWinloop","8bit_retropolis_win.glb",71,99,,,,,,"TRUE",
"ArtilleryAttack","turret_attack.scw",-1,-1,,100,,,1,,4
"ArtilleryBunnyAttack","penny_bunny_redux_turret_attack.glb",,-1,,,,,1,,4
"ArtilleryBunnyIdle","penny_bunny_redux_turret_idle.glb",,-1,,,,,,"TRUE",
"ArtilleryBunnyIdleMenu","penny_bunny_redux_turret_idle.glb",,-1,,,,,,,
"ArtilleryBunnySpawn","penny_bunny_redux_turret_spawn.glb",,-1,,,,,1,,3
"ArtilleryDudeDarkBunnyIdle","penny_bunny_dark_redux_idle.glb",1,30,,,100,100,,"TRUE",
"ArtilleryDudeDarkBunnyLose","penny_bunny_dark_redux_lose.glb",1,105,,,,,,,
"ArtilleryDudeDarkBunnyLoseloop","penny_bunny_dark_redux_lose.glb",90,105,,,,,,"TRUE",
"ArtilleryDudeDarkBunnyPrimary","penny_bunny_dark_redux_attack.glb",1,20,,,,,,,"hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeDarkBunnyProfile","penny_bunny_redux_portrait.glb",,,,,,,,"TRUE",
"ArtilleryDudeDarkBunnyPushback","penny_bunny_dark_redux_idle.glb",,18,,,100,100,200,,5
"ArtilleryDudeDarkBunnyRecoil","penny_bunny_dark_redux_attack.glb",1,20,,,,,150,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeDarkBunnyReload","penny_bunny_dark_redux_idle.glb",,5,,,200,200,200,,
"ArtilleryDudeDarkBunnyUltiAttack","penny_bunny_dark_redux_ulti.glb",,5,,,,,10,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeDarkBunnyUltiRecoil","penny_bunny_redux_ulti.glb",5,22,,,,,250,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeDarkBunnyWalk","penny_bunny_dark_redux_walk.glb",1,29,,,100,100,,"TRUE",1
"ArtilleryDudeDarkBunnyWin","penny_dark_bunny_redux_win_120.glb",1,600,,,,,,,
"ArtilleryDudeDarkBunnyWinloop","penny_bunny_dark_redux_win.glb",107,150,,,,,,"TRUE",
"ArtilleryDudeGoldIdle","penny_idle.glb",,-1,,,100,100,,"TRUE",
"ArtilleryDudeGoldLose","penny_lose.glb",1,158,,,,,,,
"ArtilleryDudeGoldLoseloop","penny_lose.glb",159,196,,,,,,"TRUE",
"ArtilleryDudeGoldPrimary","penny_attack.glb",1,4,,,,,,,"hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeGoldProfile","penny_portrait_redux.glb",1,1,,,,,,"TRUE",
"ArtilleryDudeGoldPushback","penny_idle.glb",,-1,,,100,100,200,,5
"ArtilleryDudeGoldRecoil","penny_attack.glb",1,20,,,,,150,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeGoldReload","penny_idle.glb",,5,,,200,200,200,,
"ArtilleryDudeGoldUltiAttack","mari_ult.scw",,5,,,,,10,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeGoldUltiRecoil","mari_ult.scw",5,22,,,,,250,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeGoldWalk","penny_walk.glb",,19,,,100,100,,"TRUE",1
"ArtilleryDudeGoldWin","penny_win.glb",1,146,,,,,,,
"ArtilleryDudeGoldWinloop","penny_win.glb",147,201,,,,,,"TRUE",
"ArtilleryDudeSilverIdle","penny_idle.glb",,-1,,,100,100,,"TRUE",
"ArtilleryDudeSilverLose","penny_lose.glb",1,158,,,,,,,
"ArtilleryDudeSilverLoseloop","penny_lose.glb",159,196,,,,,,"TRUE",
"ArtilleryDudeSilverPrimary","penny_attack.glb",1,4,,,,,,,"hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeSilverProfile","penny_portrait_redux.glb",1,1,,,,,,"TRUE",
"ArtilleryDudeSilverPushback","penny_idle.glb",,-1,,,100,100,200,,5
"ArtilleryDudeSilverRecoil","penny_attack.glb",1,20,,,,,150,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeSilverReload","penny_idle.glb",,5,,,200,200,200,,
"ArtilleryDudeSilverUltiAttack","mari_ult.scw",,5,,,,,10,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeSilverUltiRecoil","mari_ult.scw",5,22,,,,,250,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeSilverWalk","penny_walk.glb",,19,,,100,100,,"TRUE",1
"ArtilleryDudeSilverWin","penny_win.glb",1,146,,,,,,,
"ArtilleryDudeSilverWinloop","penny_win.glb",147,201,,,,,,"TRUE",
"ArtilleryDudeSmugglerArtilleryGalLose","mari_lose.scw",1,105,,,,,,,
"ArtilleryDudeSmugglerArtilleryGalLoseloop","mari_lose.scw",40,50,,,,,,"TRUE",
"ArtilleryDudeSmugglerArtilleryGalPrimary","mari_attack.scw",1,20,,,,,1,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeSmugglerArtilleryGalPushback","mari_attack.scw",,-1,,,100,100,200,,5
"ArtilleryDudeSmugglerArtilleryGalRecoil","mari_attack.scw",5,20,,,,,150,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeSmugglerArtilleryGalReload","mari_idle.scw",,5,,,200,200,200,,
"ArtilleryDudeSmugglerArtilleryGalUltiAttack","mari_attack.scw",1,5,,,,,10,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeSmugglerArtilleryGalUltiRecoil","mari_ult.scw",5,22,,,,,250,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeSmugglerArtilleryGalWalk","mari_walk.scw",,28,,150,100,100,,"TRUE",1
"ArtilleryDudeSmugglerIdle","penny_smuggler_idle.glb",,-1,,,100,100,,"TRUE",
"ArtilleryDudeSmugglerLose","penny_smuggler_lose.glb",1,179,,,,,,,
"ArtilleryDudeSmugglerLoseloop","penny_smuggler_lose.glb",179,179,,,,,,"TRUE",
"ArtilleryDudeSmugglerPortrait","penny_portrait.glb",1,1,-1,,,,,"TRUE",
"ArtilleryDudeSmugglerPrimary","penny_smuggler_attack.glb",1,4,,,,,,,"hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeSmugglerProfile","penny_portrait_redux.glb",1,1,,,,,,"TRUE",
"ArtilleryDudeSmugglerPushback","penny_smuggler_idle.glb",,-1,,,100,100,200,,5
"ArtilleryDudeSmugglerRecoil","penny_smuggler_attack.glb",1,20,,,,,150,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeSmugglerReload","penny_smuggler_idle.glb",,5,,,200,200,200,,
"ArtilleryDudeSmugglerTurretAttack","penny_smuggler_turret_attack.glb",,-1,,,,,50,,4
"ArtilleryDudeSmugglerTurretIdle","penny_smuggler_turret_idle.glb",,-1,,,100,100,,"TRUE",
"ArtilleryDudeSmugglerTurretSpawn","penny_smuggler_turret_idle.glb",,35,,,,,100,,3
"ArtilleryDudeSmugglerUltiAttack","penny_smuggler_super.glb",,5,,,,,10,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeSmugglerUltiRecoil","penny_smuggler_super.glb",5,22,,,,,250,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeSmugglerWalk","penny_smuggler_walk.glb",,25,,,100,100,,"TRUE",1
"ArtilleryDudeSmugglerWin","penny.smuggler_win_120.glb",,844,-1,,,,,,
"ArtilleryDudeSmugglerWinloop","penny_smuggler_win.glb",212,289,-1,,,,,"TRUE",
"ArtilleryDudeZombieIdle","penny_ghost_idle.glb",,-1,,,100,100,,"TRUE",
"ArtilleryDudeZombieLose","penny_ghost_lose.glb",1,192,,,,,,,
"ArtilleryDudeZombieLoseloop","penny_ghost_lose.glb",156,192,,,,,,"TRUE",
"ArtilleryDudeZombiePrimary","penny_ghost_attack.glb",1,4,,,,,,,"hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeZombieProfile","penny_ghost_portrait.glb",1,1,,,,,,"TRUE",
"ArtilleryDudeZombiePushback","penny_ghost_idle.glb",,-1,,,100,100,200,,5
"ArtilleryDudeZombieRecoil","penny_ghost_attack.glb",1,20,,,,,150,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeZombieReload","penny_ghost_idle.glb",,5,,,200,200,200,,
"ArtilleryDudeZombieUltiAttack","penny_ghost_super.glb",,5,,,,,10,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeZombieUltiRecoil","penny_ghost_super.glb",5,22,,,,,250,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryDudeZombieWalk","penny_ghost_walk.glb",,27,,,100,100,,"TRUE",1
"ArtilleryDudeZombieWin","penny_ghost_win.glb",1,194,,,,,,,
"ArtilleryDudeZombieWinloop","penny_ghost_win.glb",160,194,,,,,,"TRUE",
"ArtilleryGalBunnyLose","penny_bunny_win.scw",1,50,,,,,,,
"ArtilleryGalBunnyLoseloop","penny_bunny_redux_lose.glb",90,105,,,,,,"TRUE",
"ArtilleryGalBunnyWalk","penny_bunny_redux_walk.glb",1,29,,150,100,100,,"TRUE",1
"ArtilleryGalBunnyWin","penny_bunny_redux_win_120.glb",1,600,,,,,,,
"ArtilleryGalBunnyWinloop","penny_bunny_redux_win.glb",107,150,,,,,,"TRUE",
"ArtilleryGalElfBunnyLoseloop","penny_bunny_redux_lose.glb",90,105,,,,,,"TRUE",
"ArtilleryGalElfBunnyWalk","penny_bunny_redux_walk.glb",1,29,,150,100,100,,"TRUE",1
"ArtilleryGalElfBunnyWin","penny_bunny_redux_win.glb",1,150,,,,,,,
"ArtilleryGalElfBunnyWinloop","penny_bunny_redux_win.glb",107,150,,,,,,"TRUE",
"ArtilleryGalElfIdle","penny_elf_redux_idle.glb",,-1,,,100,100,,"TRUE",
"ArtilleryGalElfLose","penny_elf_redux_lose.glb",1,158,,,,,,,
"ArtilleryGalElfLoseloop","penny_elf_redux_lose.glb",159,196,,,,,,"TRUE",
"ArtilleryGalElfPrimary","penny_elf_redux_attack.glb",1,4,,,,,,,"hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryGalElfProfile","penny_elf_portrait_redux.glb",1,1,,,,,,"TRUE",
"ArtilleryGalElfPushback","penny_elf_redux_idle.glb",,-1,,,100,100,200,,5
"ArtilleryGalElfRecoil","penny_elf_redux_attack.glb",1,20,,,,,150,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryGalElfReload","penny_elf_redux_idle.glb",,5,,,200,200,200,,
"ArtilleryGalElfUltiAttack","penny_elf_redux_attack.glb",,5,,,,,10,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryGalElfUltiRecoil","penny_elf_redux_attack.glb",5,22,,,,,250,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryGalElfWalk","penny_elf_redux_walk.glb",,19,,,100,100,,"TRUE",1
"ArtilleryGalElfWin","penny_elf_redux_win.glb",1,146,,,,,,,
"ArtilleryGalElfWinloop","penny_elf_redux_win.glb",147,201,,,,,,"TRUE",
"ArtilleryGalIdle","penny_bunny_redux_idle.glb",1,30,,,100,100,,"TRUE",
"ArtilleryGalLose","penny_bunny_redux_lose.glb",1,105,,,,,,,
"ArtilleryGalLoseloop","mari_lose.scw",40,50,,,,,,"TRUE",
"ArtilleryGalPrimary","penny_bunny_redux_attack.glb",1,20,,,,,1,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryGalProfile","penny_bunny_redux_portrait.glb",,,,,,,,,
"ArtilleryGalPushback","penny_bunny_redux_attack.glb",,-1,,,100,100,200,,5
"ArtilleryGalRecoil","penny_bunny_redux_attack.glb",5,20,,,,,150,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryGalReload","penny_bunny_redux_idle.glb",,5,,,200,200,200,,
"ArtilleryGalUltiAttack","penny_bunny_redux_attack.glb",1,5,,,,,10,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryGalUltiRecoil","penny_bunny_redux_ulti.glb",5,22,,,,,250,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryGalWalk","mari_walk.scw",,28,,150,100,100,,"TRUE",1
"ArtilleryGalWin","mari_win.scw",1,62,,,,,,,
"ArtilleryGalWinloop","mari_win.scw",63,92,,,,,,"TRUE",
"ArtilleryIdle","penny_bunny_redux_turret_idle.glb",,-1,,,,,,"TRUE",
"ArtillerySpawn","turret_spawn.scw",,-1,,,,,1,,3
"ArtilleryTurretDefaultAttack","penny_turret_attack.glb",,-1,,,,,50,,4
"ArtilleryTurretDefaultIdle","penny_turret_idle.glb",,-1,,,100,100,,"TRUE",
"ArtilleryTurretDefaultSpawn","penny_turret_spawn.glb",,35,,,,,100,,3
"ArtilleryTurretElfAttack","penny_elf_turret_redux_attack.glb",,-1,,,,,1,,4
"ArtilleryTurretElfIdle","penny_elf_turret_redux_spawn.glb",38,-1,,,,,,"TRUE",
"ArtilleryTurretElfSpawn","penny_elf_turret_redux_spawn.glb",,-1,,,,,1,,3
"ArtilleryTurretGhostAttack","penny_ghost_turret_attack.glb",3,-1,,,,,50,,4
"ArtilleryTurretGhostIdle","penny_ghost_turret_idle.glb",,-1,,,100,100,,"TRUE",
"ArtilleryTurretGhostSpawn","penny_ghost_turret_spawn.glb",,35,,,,,100,,3
"AshAttack","ash_attack.glb",5,20,-1,,,,,,"hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"AshIdle","ash_idle.glb",,-1,-1,,100,100,,"TRUE",
"AshLose","ash_lose.glb",,-1,-1,,,,,,
"AshLoseloop","ash_lose.glb",98,-1,-1,,,,,"TRUE",
"AshNinjaAttack","ash_ninja_attack.glb",5,20,-1,,,,,,"hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"AshNinjaIdle","ash_ninja_idle.glb",,-1,-1,,100,100,,"TRUE",
"AshNinjaLose","ash_ninja_lose.glb",,120,-1,,,,,,
"AshNinjaLoseloop","ash_ninja_lose.glb",121,-1,-1,,,,,"TRUE",
"AshNinjaPushBack","ash_ninja_pushback.glb",,-1,-1,,30,100,100,,
"AshNinjaRecoil","ash_ninja_attack.glb",21,35,-1,,,,100,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"AshNinjaSuper","ash_ninja_super.glb",,-1,-1,,,,,,"hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"AshNinjaSuperRecoil","ash_ninja_super.glb",6,20,-1,,,,50,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"AshNinjaWalk","ash_ninja_walk.glb",,-1,-1,,,,,"TRUE",
"AshNinjaWin","ash_ninja_win_120.glb",,499,-1,,,,,,
"AshNinjaWinloop","ash_ninja_win_120.glb",500,-1,-1,,,,,"TRUE",
"AshPortrait","ash_portrait.glb",,-1,-1,,,,,,
"AshPushback","ash_pushback.glb",,10,-1,,30,100,100,,5
"AshRecoil","ash_attack.glb",21,35,-1,,,,100,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"AshSuper","ash_super.glb",,5,-1,,,,,,"hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"AshSuperRecoil","ash_super.glb",6,20,-1,,,,50,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"AshWalk","ash_walk.glb",,-1,-1,,100,100,,"TRUE",
"AshWin","ash_win.glb",,178,-1,,,,,,
"AshWinloop","ash_win.glb",179,208,-1,,,,,"TRUE",
"AssaultShotgunArcadeAttack","griff_arcade_attack.glb",,3,-1,,,,,,"hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"AssaultShotgunArcadeIdle","griff_arcade_idle.glb",,38,-1,,100,100,,"TRUE",
"AssaultShotgunArcadeLose","griff_arcade_lose.glb",,138,-1,,50,,,,
"AssaultShotgunArcadeLoseloop","griff_arcade_lose.glb",64,138,-1,,,,,"TRUE",
"AssaultShotgunArcadePortrait","griff_arcade_portrait.glb",,-1,-1,,,,,,
"AssaultShotgunArcadeRecoil","griff_arcade_attack.glb",4,-1,-1,,,100,200,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"AssaultShotgunArcadeWalk","griff_arcade_walk.glb",,-1,-1,,100,100,,"TRUE",
"AssaultShotgunArcadeWin","griff_arcade_win.glb",,97,-1,,,,,,
"AssaultShotgunArcadeWinloop","griff_arcade_win.glb",71,97,-1,,,,,"TRUE",
"AssaultShotgunSledAttack","griff_sled_attack.glb",,3,-1,,,,,,"hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"AssaultShotgunSledIdle","griff_sled_idle.glb",,38,-1,,100,100,,"TRUE",
"AssaultShotgunSledLose","griff_sled_lose.glb",,116,-1,,50,,,,
"AssaultShotgunSledLoseloop","griff_sled_lose.glb",117,159,-1,,,,,"TRUE",
"AssaultShotgunSledPortrait","griff_sled_win.glb",298,-1,-1,,,,,"TRUE",
"AssaultShotgunSledRecoil","griff_sled_attack.glb",4,-1,-1,,,100,200,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"AssaultShotgunSledWalk","griff_sled_walk.glb",,-1,-1,,100,100,,"TRUE",
"AssaultShotgunSledWin","griff_sled_win.glb",,177,-1,,,,,,
"AssaultShotgunSledWinloop","griff_sled_win.glb",178,298,-1,,,,,"TRUE",
"AssaultShotgunTreasureAttack","griff_treasure_attack.glb",,3,-1,,,,,,"hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"AssaultShotgunTreasureIdle","griff_treasure_idle.glb",,38,-1,,100,100,,"TRUE",
"AssaultShotgunTreasureLose","griff_treasure_lose.glb",,181,-1,,50,,,,
"AssaultShotgunTreasureLoseloop","griff_treasure_lose.glb",144,181,-1,,,,,"TRUE",
"AssaultShotgunTreasurePortrait","griff_treasure_portrait.glb",5,5,-1,,,,,"TRUE",
"AssaultShotgunTreasureRecoil","griff_treasure_attack.glb",4,-1,-1,,,100,200,,"hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"AssaultShotgunTreasureWalk","griff_treasure_walk.glb",,-1,-1,,100,100,,"TRUE",
"AssaultShotgunTreasureWin","griff_treasure_win_120.glb",,724,-1,,,,,,
"AssaultShotgunTreasureWinloop","griff_treasure_win.glb",153,181,-1,,,,,"TRUE",
"BarkeepBankerIdle","barley_banker_idle.scw",-1,-1,,,100,100,250,"TRUE",
"BarkeepBankerLose","barley_banker_lose1.scw",-1,-1,,130,,,38,,
"BarkeepBankerLoseloop","barley_banker_lose1.scw",60,150,,120,,,,"TRUE",
"BarkeepBankerPrimary","barley_banker_attack1.scw",3,12,,,,,,,"ChestBone#3"
"BarkeepBankerProfile","barley_banker_idle.scw",1,1,,,,,,"TRUE",
"BarkeepBankerPushback","barley_banker_knockback.scw",-1,-1,,,100,100,100,,5
"BarkeepBankerRecoil","barley_banker_attack1.scw",3,12,,,10,10,10,,"ChestBone#4"
"BarkeepBankerReload","barley_banker_idle.scw",-1,-1,,,200,200,200,,"ChestBone#2"
"BarkeepBankerSecondary","barley_banker_attack1.scw",-1,-1,,,100,50,200,,"ChestBone#3"
"BarkeepBankerWalk","barley_banker_walk.scw",,19,,120,100,100,,"TRUE",1
"BarkeepBankerWin","barley_banker_win1.scw",,30,,,50,250,250,,
"BarkeepBankerWinidleloop","barley_banker_winidleloop.scw",-1,-1,,,,,,"TRUE",
"BarkeepBankerWinloop","barley_banker_win1.scw",30,80,,,25,,,"TRUE",
"BarkeepDrunkenIdle","barley_drunkenmaster_win_balance.glb",,-1,,,100,100,250,"TRUE",
"BarkeepDrunkenIntro","barley_intro_pose.scw",,,,,,,,,
